Accuracy: 0.944 (19210/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  743  0    1    1    2    0    1    1    0    5    6    28   16   17   1    0    2    0    0   
BG  0    1188 0    6    0    0    0    0    0    21   4    13   0    0    0    0    0    0    0   
CH  1    0    1030 0    0    0    0    1    13   1    6    3    1    0    0    2    3    1    0   
CR  1    0    0    926  4    0    0    0    1    24   0    23   19   19   0    0    11   0    0   
CZ  0    3    0    0    1217 0    0    0    0    108  2    8    1    2    2    4    0    0    0   
FR  0    0    0    0    0    1074 0    0    0    5    0    4    0    1    0    0    2    1    0   
GE  20   0    3    0    13   0    1099 0    0    1    3    15   0    3    1    0    14   0    0   
JA  0    1    3    0    5    0    0    425  38   0    11   3    1    0    0    1    1    1    0   
KO  1    0    4    0    1    0    0    14   1118 0    0    1    19   10   0    1    1    1    0   
PL  0    1    0    0    0    0    0    0    0    1489 0    14   0    0    3    1    1    0    4   
PO  1    0    1    4    2    1    2    0    0    1    822  15   37   36   0    0    2    0    0   
RU  5    0    1    75   3    2    0    2    1    10   5    1572 12   0    0    0    7    5    0   
SP  12   0    0    6    0    2    0    1    5    1    22   15   1017 29   0    1    5    1    1   
SW  0    0    0    42   0    1    1    0    0    0    6    10   13   1273 0    0    1    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    1320 0    0    0   
TU  0    2    0    37   1    0    0    0    2    7    14   10   2    1    0    0    1014 0    0   
WU  0    0    14   0    0    0    0    0    4    0    7    2    2    3    0    0    0    315  0   
VN  0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    1    3    0    1155
C_primary value: 0.074
