Accuracy: 0.943 (19189/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  757  0    2    7    0    0    2    1    0    0    4    26   4    18   2    0    1    0    0   
BG  0    1198 1    1    0    0    0    0    1    18   7    6    0    0    0    0    0    0    0   
CH  2    0    1000 0    0    0    1    1    38   2    6    4    1    0    0    2    2    3    0   
CR  3    0    0    863  24   1    0    1    2    5    8    74   21   4    0    0    22   0    0   
CZ  0    5    1    1    1257 1    0    2    0    21   35   18   2    1    2    1    0    0    0   
FR  0    0    0    0    0    1076 0    0    0    0    6    2    0    2    0    0    1    0    0   
GE  2    0    0    5    1    0    1130 1    0    0    8    13   2    1    0    0    9    0    0   
JA  1    0    1    0    1    0    2    454  16   0    0    1    0    0    0    1    13   0    0   
KO  0    0    3    2    0    1    0    4    1155 0    1    1    0    1    0    0    2    1    0   
PL  0    18   0    0    0    0    0    0    0    1368 7    97   3    0    19   1    0    0    0   
PO  0    0    1    3    0    0    3    0    0    1    868  6    21   17   0    1    2    0    1   
RU  4    0    0    55   6    5    0    1    2    1    5    1598 9    2    0    0    9    3    0   
SP  7    0    1    5    0    1    0    0    6    1    14   30   1005 41   0    1    4    1    1   
SW  0    0    0    34   1    0    0    0    1    2    9    30   48   1216 0    0    6    0    0   
TA  5    0    0    0    0    0    0    0    0    0    1    0    0    0    408  0    0    0    0   
TH  2    0    0    0    0    0    0    0    3    0    1    0    1    0    0    1315 0    0    0   
TU  0    8    0    14   0    0    0    0    2    3    14   5    3    0    0    0    1040 0    1   
WU  1    0    0    1    1    0    0    2    3    0    1    1    3    8    0    0    1    325  0   
VN  0    0    1    0    0    0    0    1    0    0    0    0    2    0    0    1    0    0    1156
C_primary value: 0.071
