Accuracy: 0.860 (17504/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  664  2    1    6    6    9    4    4    2    2    18   32   35   24   1    0    13   0    1   
BG  0    1019 0    2    0    0    0    0    0    211  0    0    0    0    0    0    0    0    0   
CH  1    0    1050 0    0    0    1    0    0    3    0    0    1    2    0    1    0    0    3   
CR  5    0    1    815  11   2    0    1    1    0    20   80   42   29   1    0    19   0    1   
CZ  25   0    0    1    1191 4    1    0    4    73   7    17   4    8    1    5    1    0    5   
FR  0    0    0    0    2    1019 14   3    1    0    4    11   3    10   0    0    14   3    3   
GE  57   0    2    1    1    11   1063 3    1    0    2    8    0    1    0    0    22   0    0   
JA  3    0    16   0    2    0    3    401  10   1    1    7    4    25   0    0    9    8    0   
KO  0    0    1    2    2    1    1    5    1135 0    2    2    8    2    0    3    6    1    0   
PL  19   75   0    16   1    42   20   2    0    1084 48   124  0    11   2    0    11   0    58  
PO  4    1    2    19   1    11   0    0    0    1    785  56   21   6    0    0    13   1    3   
RU  29   0    2    159  11   7    23   5    7    3    83   1297 22   27   0    0    19   3    3   
SP  6    0    0    64   5    27   2    5    4    1    30   25   800  83   1    1    61   0    3   
SW  4    0    2    11   4    2    6    3    14   4    21   89   24   1127 0    0    33   1    2   
TA  25   0    0    0    47   0    1    0    1    3    2    0    10   0    307  0    6    0    12  
TH  0    0    1    0    1    0    0    0    0    1    0    0    0    1    0    1316 0    0    2   
TU  2    2    1    1    12   9    1    0    8    30   8    8    12   14   0    0    975  1    6   
WU  0    0    32   0    0    0    0    0    1    0    1    1    0    0    0    0    0    309  3   
VN  0    0    1    0    4    0    0    1    1    0    0    2    1    4    0    0    0    0    1147
C_primary value: 0.177
