Accuracy: 0.941 (19141/20349 classified correctly)
Confusion matrix:
    AR   BG   CH   CR   CZ   FR   GE   JA   KO   PL   PO   RU   SP   SW   TA   TH   TU   WU   VN  
AR  747  0    0    2    3    0    1    1    0    6    5    23   18   15   1    0    2    0    0   
BG  1    1180 0    2    0    0    0    1    0    18   7    20   1    0    0    0    1    1    0   
CH  1    0    1022 0    0    0    0    1    16   1    15   3    1    0    0    2    0    0    0   
CR  2    0    0    889  2    0    0    0    1    33   2    54   25   11   0    0    9    0    0   
CZ  1    2    0    0    1188 1    1    0    0    144  0    3    2    1    2    1    0    1    0   
FR  0    0    0    0    0    1064 0    0    0    16   1    3    0    1    0    0    2    0    0   
GE  12   0    6    1    20   0    1103 0    0    0    8    7    0    3    0    0    12   0    0   
JA  2    0    7    0    4    0    0    429  34   1    4    1    4    2    0    1    0    1    0   
KO  0    0    3    0    2    0    0    25   1113 0    0    1    14   7    0    3    3    0    0   
PL  0    0    0    0    0    0    2    0    0    1488 0    15   0    0    3    1    0    0    4   
PO  1    0    0    4    3    0    3    0    0    0    836  18   27   28   0    0    3    0    1   
RU  6    0    0    59   2    2    0    2    0    9    3    1585 10   2    0    1    8    11   0   
SP  18   1    1    4    0    1    0    0    5    0    18   27   997  38   1    1    5    0    1   
SW  1    0    0    11   0    0    0    0    1    2    2    7    18   1302 0    0    3    0    0   
TA  0    0    0    0    0    0    0    0    0    0    0    1    0    0    413  0    0    0    0   
TH  2    0    0    0    0    0    0    0    1    0    0    0    0    0    0    1319 0    0    0   
TU  0    2    0    48   0    0    0    0    1    8    14   15   2    1    0    0    999  0    0   
WU  0    0    11   1    0    0    0    3    1    0    12   4    0    2    0    0    2    311  0   
VN  0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    3    0    1156
C_primary value: 0.078
